query,cluster,intent,service_fit,local_pack,visible_density,notable_competitors,GBP_categories,review_strength,landing_pattern,commercial_proxy,claims_risk,evidence,evidence_level,priority
hypnosis for internal blocks Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for overthinking Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for repeating patterns Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for motivation Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for procrastination Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for public speaking Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for performance Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for decisions Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for creativity Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for imposter syndrome Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
family constellations Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,Google Search pack unverified; Maps results observed,4 visible providers,Marina Toledo; Dayana Lopez; Daniela Storti; Somatic Therapies,Training center; Life coach; Wellness center; Mental health service,6–75 visible,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,direct Maps observation,P1
systemic constellations Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P1
constellation facilitator Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
individual family constellations Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P1
family constellation session Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
family constellations near me,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
constellations for relationships Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P1
constellations for life decisions Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
constellations for repeating patterns Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P1
family constellations workshop Toronto,Family / Systemic,training/event,not verified / not offered on these pages,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,ignore
family constellation training Toronto,Family / Systemic,training/event,not verified / not offered on these pages,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,ignore
systemic mapping Toronto,Family / Systemic,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.mahayahealth.com/family-constellations ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
business constellations Toronto,Business / Organizational,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,leadership / organisational learning; Toronto demand unproven,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.businessconstellations.com/johnwhittington/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
organizational constellations Toronto,Business / Organizational,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,leadership / organisational learning; Toronto demand unproven,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.businessconstellations.com/johnwhittington/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
organisational constellations Toronto,Business / Organizational,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,leadership / organisational learning; Toronto demand unproven,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.businessconstellations.com/johnwhittington/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
systemic coaching Toronto,Business / Organizational,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,leadership / organisational learning; Toronto demand unproven,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.businessconstellations.com/johnwhittington/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
leadership constellations Toronto,Business / Organizational,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,leadership / organisational learning; Toronto demand unproven,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.businessconstellations.com/johnwhittington/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
business decision constellation Toronto,Business / Organizational,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,leadership / organisational learning; Toronto demand unproven,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.businessconstellations.com/johnwhittington/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
entrepreneur systemic coaching Toronto,Business / Organizational,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,leadership / organisational learning; Toronto demand unproven,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.businessconstellations.com/johnwhittington/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
team constellations Toronto,Business / Organizational,training/event,not verified / not offered on these pages,unverified,not measured for this query,see cluster observations,unverified,unverified,leadership / organisational learning; Toronto demand unproven,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.businessconstellations.com/johnwhittington/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,ignore
Reiki Toronto,Reiki / Energy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Reiki near me,Reiki / Energy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
energy healing Toronto,Reiki / Energy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Reiki session Toronto,Reiki / Energy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Reiki downtown Toronto,Reiki / Energy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
individual Reiki Toronto,Reiki / Energy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Reiki Toronto pricing,Reiki / Energy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Reiki training Toronto,Reiki / Energy,training/event,not verified / not offered on these pages,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,ignore
distance Reiki Toronto,Reiki / Energy,training/event,not verified / not offered on these pages,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,ignore
energy work Toronto,Reiki / Energy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.litetoronto.com/reikitoronto ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
archetypal coaching Toronto,Spiritual / Archetypal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://github.com/andylitvinov-design/sales/issues/2 ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
spiritual coaching Toronto,Spiritual / Archetypal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://github.com/andylitvinov-design/sales/issues/2 ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
personal mandala Toronto,Spiritual / Archetypal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://github.com/andylitvinov-design/sales/issues/2 ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
symbolic integration Toronto,Spiritual / Archetypal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://github.com/andylitvinov-design/sales/issues/2 ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
mandala workshop Toronto,Spiritual / Archetypal,training/event,not verified / not offered on these pages,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://github.com/andylitvinov-design/sales/issues/2 ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,ignore
spiritual counselling Toronto,Spiritual / Archetypal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://github.com/andylitvinov-design/sales/issues/2 ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
personal growth Toronto,Spiritual / Archetypal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://github.com/andylitvinov-design/sales/issues/2 ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
deep change session Toronto,Spiritual / Archetypal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://github.com/andylitvinov-design/sales/issues/2 ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Holistic House Toronto,Brand / Practitioner,local service enquiry,issue-supported; confirm individual fit,Google Search pack unverified; Maps results observed,7 mixed visible results,Holistic House matched by phone,Education center,No reviews displayed,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.google.com/maps/search/Holistic+House+Toronto/ ; https://github.com/andylitvinov-design/sales/issues/2,direct Maps observation,P2
Andrey Litvinov Toronto,Brand / Practitioner,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.google.com/maps/search/Holistic+House+Toronto/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Andy Li Toronto,Brand / Practitioner,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.google.com/maps/search/Holistic+House+Toronto/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
PsiTrends Toronto,Brand / Practitioner,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.google.com/maps/search/Holistic+House+Toronto/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
psitrends hypnotherapy,Brand / Practitioner,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.google.com/maps/search/Holistic+House+Toronto/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Holistic House hypnotherapy Toronto,Brand / Practitioner,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.google.com/maps/search/Holistic+House+Toronto/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
Holistic House Reiki Toronto,Brand / Practitioner,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.google.com/maps/search/Holistic+House+Toronto/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
PsiTrends constellations,Brand / Practitioner,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.google.com/maps/search/Holistic+House+Toronto/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
